# Elenco di ammissione del controllo G11 - regola di riservatezza R0.
#
# QUESTO FILE E' IL COMPLEMENTO DELLA LISTA DEI TERMINI VIETATI, ED E' IL MOTIVO PER CUI QUELLA
# LISTA NON STA IN QUESTO REPOSITORIO. Un elenco di cio' che e' vietato, pubblicato, e' la
# violazione che il controllo esiste per impedire: pubblica i nomi che R0 protegge, e li pubblica
# con l'etichetta che li rende interessanti. Un elenco di cio' che e' AMMESSO non ha questo
# difetto: contiene soltanto nomi gia' presenti in chiaro nel corpus - organismi di normazione,
# istituzioni pubbliche, domini riservati dalle RFC, infrastruttura tecnica del progetto - e non
# dice nulla su nessun rapporto commerciale. Il ragionamento per esteso e' in
# .telemedic/piani/G11-regola-di-riservatezza.md.
#
# QUI VIVONO ANCHE LE ECCEZIONI. Il controllo non ha marcatore da riga: chi ha bisogno di citare
# un dominio o un nome commerciale aggiunge una riga qui, con il motivo, e la riga passa in
# revisione insieme alla modifica. Un marcatore sparso nei file sarebbe invisibile a chi rivede;
# una riga in questo file no. E' una divergenza deliberata da scripts/verifica-dati-sintetici.sh,
# che il marcatore da riga lo ammette: li' l'ammissione riguarda un recapito che il progetto
# pubblica per obbligo, qui riguarda una riservatezza altrui.
#
# Formato: valori separati da tabulazione, righe di commento con «#», prima riga non commentata
# di intestazione. Tre colonne.
#
#   tipo    dominio | nome | coordinata
#   valore  per «dominio»: nome di host esatto, oppure «*.suffisso» che vale per il suffisso
#           stesso e per ogni host che vi termina. Per «nome»: la forma normalizzata (minuscole,
#           tutto cio' che non e' lettera o cifra ridotto a uno spazio) del nome ammesso accanto a
#           un marcatore di marchio o a una forma societaria. Per «coordinata»: il segmento di
#           fornitore ammesso in un identificativo a dominio inverso o in un ambito di pacchetto.
#   motivo  perche' e' ammesso. Non e' decorazione: e' il campo che permette di rivedere questo
#           file fra un anno senza ricostruire a memoria chi ha aggiunto che cosa.
#
# CHE COSA NON VA MESSO QUI. Il nome di un'azienda con cui il progetto ha, ha avuto o potrebbe
# avere un rapporto. Se serve nominarla, la risposta non e' questo file: e' la riformulazione in
# categoria generica - «un gestionale sanitario cloud», «l'integratore», «un organismo notificato».
#
# STATO DELLA COMPILAZIONE AL 26 AGOSTO 2026. Le sezioni 1-4 sono compilate con cio' che e'
# evidentemente non commerciale. La sezione 5 e' una PROPOSTA e va confermata dal committente:
# sono soggetti commerciali, citati nel corpus come infrastruttura tecnica o come fonte, e la
# decisione se R0 li riguardi non spetta a chi ha scritto questo controllo. Finche' non e'
# confermata, resta attiva: toglierla produrrebbe oltre centocinquanta rilievi e un controllo che
# grida sempre non viene letto.
tipo	valore	motivo
#
# --- 1. Domini riservati: non sono assegnabili a nessuno, quindi non nominano nessuno. ---
# RFC 2606 e RFC 6761. Stessa scelta gia' fatta da scripts/verifica-dati-sintetici.sh.
dominio	*.example	RFC 2606: dominio riservato alla documentazione, non assegnabile
dominio	*.invalid	RFC 2606: marca riservata, non risolvibile per costruzione
dominio	*.test	RFC 2606: marca riservata alle prove
dominio	*.localhost	RFC 6761: nome riservato all'host locale
dominio	example.com	RFC 2606: dominio riservato alla documentazione
dominio	*.example.com	RFC 2606: sottodomini del dominio riservato
dominio	*.example.net	RFC 2606: sottodomini del dominio riservato
dominio	*.example.org	RFC 2606: sottodomini del dominio riservato
dominio	example.net	RFC 2606: dominio riservato alla documentazione
dominio	example.org	RFC 2606: dominio riservato alla documentazione
dominio	127.0.0.1	Indirizzo di anello locale, RFC 5735: non e' un nome
dominio	169.254.169.254	Indirizzo di servizio dei metadati di istanza, citato nel modello di minaccia
#
# --- 2. Organismi di normazione e specifiche aperte. ---
dominio	*.hl7.org	Organismo di normazione: specifiche FHIR e HL7 v2
dominio	*.hl7.it	Affiliata nazionale dell'organismo di normazione: guide di implementazione italiane
dominio	*.hl7.eu	Affiliata europea dell'organismo di normazione
dominio	hl7.org	Organismo di normazione
dominio	hl7.it	Affiliata nazionale dell'organismo di normazione
dominio	build.fhir.org	Costruzione continua delle specifiche FHIR
dominio	*.fhir.org	Specifiche FHIR
dominio	loinc.org	Sistema di codifica aperto, citato per identificatore
dominio	*.loinc.org	Sistema di codifica aperto
dominio	snomed.info	Spazio dei nomi degli identificatori di sistema, citato senza contenuto
dominio	*.snomed.org	Ente della terminologia, citato per licenza e non per contenuto
dominio	mlds.ihtsdotools.org	Servizio di distribuzione della terminologia, citato per la procedura di licenza
dominio	*.ihtsdotools.org	Ente della terminologia
dominio	ucum.org	Specifica aperta delle unita' di misura
dominio	unitsofmeasure.org	Specifica aperta delle unita' di misura
dominio	dicom.nema.org	Organismo di normazione dell'imaging
dominio	*.dicomstandard.org	Organismo di normazione dell'imaging
dominio	*.ihe.net	Iniziativa di profili di integrazione
dominio	*.openehr.org	Specifica aperta di cartella clinica
dominio	openehr.org	Specifica aperta di cartella clinica
dominio	*.w3.org	Organismo di normazione del web
dominio	*.ietf.org	Organismo di normazione di Internet
dominio	*.rfc-editor.org	Archivio ufficiale delle RFC
dominio	iana.org	Autorita' di assegnazione dei numeri di Internet
dominio	*.iana.org	Autorita' di assegnazione dei numeri di Internet
dominio	json-schema.org	Specifica aperta
dominio	*.openapis.org	Specifica aperta di descrizione delle interfacce
dominio	ndjson.org	Specifica aperta del formato a oggetti JSON delimitati da riga
dominio	*.unicode.org	Organismo di normazione della codifica dei caratteri
dominio	*.itu.int	Agenzia delle Nazioni Unite per le telecomunicazioni
dominio	uri.etsi.org	Spazio dei nomi dell'istituto europeo di normazione delle telecomunicazioni
dominio	*.iso.org	Organizzazione internazionale per la normazione
dominio	editorconfig.org	Specifica aperta di configurazione degli editor
dominio	developercertificate.org	Testo del Developer Certificate of Origin, richiesto da CONTRIBUTING.md
dominio	reuse.software	Specifica aperta di dichiarazione delle licenze
dominio	*.apache.org	Fondazione che pubblica la licenza del progetto
dominio	*.gnu.org	Fondazione che pubblica i testi di licenza citati
dominio	*.contributor-covenant.org	Testo del codice di condotta adottato
dominio	*.spdx.org	Specifica aperta degli identificatori di licenza
dominio	schema.org	Vocabolario aperto di dati strutturati, usato dal generatore del sito
dominio	*.sitemaps.org	Specifica aperta della mappa del sito
dominio	opensource.org	Open Source Initiative: testi delle licenze approvate
#
# --- 3. Istituzioni pubbliche e autorita'. ---
dominio	*.gov.it	Pubblica amministrazione italiana
dominio	*.europa.eu	Istituzioni dell'Unione europea
dominio	*.eu.int	Istituzioni dell'Unione europea, forma storica
dominio	*.who.int	Organizzazione mondiale della sanita'
dominio	*.nih.gov	Istituti nazionali della sanita' statunitensi
dominio	*.nlm.nih.gov	Biblioteca nazionale di medicina statunitense
dominio	*.nist.gov	Istituto nazionale di normazione statunitense
dominio	*.cdc.gov	Centri per il controllo delle malattie statunitensi
dominio	*.bfarm.de	Autorita' federale tedesca per i dispositivi medici
dominio	*.fhi.no	Istituto nazionale norvegese di sanita' pubblica, centro collaboratore ATC/DDD
dominio	*.whocc.no	Centro collaboratore dell'Organizzazione mondiale della sanita' per l'ATC/DDD
dominio	publ.iss.it	Istituto superiore di sanita'
dominio	*.iss.it	Istituto superiore di sanita'
dominio	*.accredia.it	Ente unico nazionale di accreditamento
dominio	*.normattiva.it	Banca dati ufficiale della normativa italiana
dominio	*.gazzettaufficiale.it	Gazzetta ufficiale della Repubblica italiana
dominio	*.garanteprivacy.it	Autorita' garante per la protezione dei dati personali
dominio	*.statoregioni.it	Conferenza permanente Stato-Regioni
dominio	*.regione.emilia-romagna.it	Bollettino ufficiale regionale, citato come fonte normativa
dominio	*.fnomceo.it	Federazione nazionale degli ordini dei medici
dominio	*.genenames.org	Comitato di nomenclatura dei geni, ente accademico
dominio	*.edpb.europa.eu	Comitato europeo per la protezione dei dati
dominio	*.italia.it	Portali della pubblica amministrazione italiana per la trasformazione digitale
#
# --- 4. Infrastruttura del progetto stesso. ---
dominio	fedcal.github.io	Sito di documentazione pubblicato dal progetto
dominio	federicocalo.dev	Dominio del manutentore, gia' dichiarato in publiccode.yml
#
# --- 4bis. Fornitori di posta al consumo. ---
# Sono soggetti commerciali, e stanno qui per una ragione funzionale: scripts/verifica-dati-sintetici.sh
# li elenca in chiaro perche' e' su quella distinzione che il controllo G10 riconosce il recapito
# di una persona fisica, e la documentazione li cita per lo stesso motivo. Nessuno di essi e' un
# rapporto del progetto. L'accoppiamento fra i due controlli e' deliberato: chi allunga l'elenco
