# Vincoli in vigore
#
# GENERATO. Non si modifica a mano: si modifica la bacheca inter-agenti
# .telemedic/context/05_BACHECA_INTERAGENTI.md e si riesegue
# scripts/genera-registri-di-vincoli-e-questioni.py.
#
# Formato: file di testo separato da carattere TAB, codifica UTF-8. Le righe che
# iniziano con # sono commenti. Segue l'intestazione delle colonne e poi una riga
# per voce. Nessuna cella contiene un carattere TAB.
#
# Colonne: sigla, emittente, destinatarie, testo, stato
# Voci: 98

sigla	emittente	destinatarie	testo	stato
V-01	ORCH	tutte	`Encounter` e `MediaSession` sono aggregati distinti. Nessuna area può unirli	VINCOLO
V-02	ORCH	tutte	Nessuna soglia clinica cablata: sono configurazione per assistito	VINCOLO
V-03	ORCH	tutte	Il sistema è pienamente funzionale senza SNOMED CT. Nessun percorso principale può richiederlo	VINCOLO
V-04	ORCH	tutte	Il registro immutabile è a catena di impronte e conservazione separata. Il versionamento delle entità non lo sostituisce	VINCOLO
V-05	ORCH	tutte	Il progetto è conforme e verificabile su SPID/CIE/TS-CNS, **non accreditato**: il fornitore di servizi è chi installa	VINCOLO
V-06	ORCH	tutte	**EMENDATO DA `D58`, ATTUATO DA `D63`.** Il ruolo di fabbricante **sarà assunto dal progetto**; il soggetto giuridico è **ancora da costituire**. Con `D63`, il 26 agosto 2026, il committente ha deciso che il sistema **deve essere adatto all'erogazione di prestazioni su pazienti reali**: la marcatura CE al termine di una valutazione della conformità conclusa non è più soltanto un percorso che il progetto intende intraprendere, è un **requisito di prodotto**. `D63` **non modifica di una riga** né lo stato di fatto né il divieto di dichiarare date: cambia lo stato dell'obiettivo, non ciò che è vero oggi e non ciò che è dicibile. Resta invariato e va ripetuto qui perché è l'oggetto stesso della decisione: **oggi il prodotto non reca marcatura CE, non è coperto da alcuna dichiarazione di conformità e non è utilizzabile per l'erogazione di prestazioni sanitarie su pazienti reali**. Sequenza di recepimento in `.telemedic/piani/D63-recepimento-del-ruolo-di-fabbricante.md`. Il materiale regolatorio è prodotto **per il nostro percorso**, non più «per chi certifica»: quella formula è vietata in ogni documento. **Restano invariati e non attenuabili**: (a) oggi il prodotto **non reca marcatura CE** e non è coperto da alcuna dichiarazione di conformità - stato di fatto, non posizione; (b) chi installa, integra o mette in servizio **assume comunque** gli obblighi che ne derivano, e l'intenzione di certificare **non gli trasferisce nulla**; (c) gli atti che la norma riserva al ruolo di fabbricante restano riservati **anche quando il ruolo sarà nostro**, e la distinzione non va cancellata: è ciò che rende leggibile perché non si possono anticipare; (d) il divieto di `V-171` è intero - **nessuna data, nessuna finestra, nessun «entro»**	VINCOLO
V-07-bis	ORCH	tutte	**Forma unica: «catena di impronte», mai «catena di hash».** «Hash» resta ammesso solo dove si nomina **la funzione** («funzione di hash», «hash crittografico»); l'**esito** della funzione è sempre un'«impronta». Il glossario aveva trovato le due forme in uso in misura quasi pari - 36 contro 33 - il che è il modo in cui una divergenza terminologica sopravvive: nessuna delle due sembra minoritaria abbastanza da essere corretta. Normalizzata l'intera documentazione	VINCOLO
V-07-ter	ORCH	`GUIDA`, tutte	**Esito della revisione incrociata del glossario: dodici segnalazioni, nove reali e tre no.** Corrette: collegamento rotto al modulo 18; «catena di hash» unificata in «catena di impronte» (`V-07-bis`); «compliance digitale del paziente» → «dell'assistito»; «telecontrollo» → «telecontrollo medico» nelle righe di definizione; formulazione canonica di «aggregato» fissata sul modulo 16; tre caratterizzazioni della sicurezza a livello di riga riunite; collisione su «tracciabilità» - accessi contro requisiti - disambiguata nel modulo 12; «errore d'uso» chiarito nel modulo 10, dove poteva leggersi come colpa dell'utente. **Non erano difetti**: (a) «coerenza finale» non esiste nel corpus, è in uso la sola «consistenza finale»; (b) «outbox transazionale» ricorre in quattro tabelle di termini con formulazioni equivalenti - è la **convenzione della guida**, in cui ogni modulo chiude con i propri termini, non un concetto orfano; (c) i rinvii interni del glossario sono tutti risolti, verificato automaticamente. **Registrate come non-problemi perché non vengano riaperte**	VINCOLO
V-07	ORCH	tutte	Il contenuto dei documenti per il fascicolo si modella come dataset canonico; le serializzazioni sono sostituibili	VINCOLO
V-08	ORCH	`PROD`, `FUNZ`, `INTEG`	Le assicurazioni sono **sempre** escluse dall'accesso al FSE (art. 15 c. 4, DM 7 settembre 2023). Il pagatore non è un consultatore	VINCOLO
V-09	ORCH	tutte	L'assenza di dato è informazione clinica: il silenzio non è mai trattato come normalità	VINCOLO
V-10	`GUIDA`	`SEC`, `TECH`	Server di relay: versione minima 4.17.2 e isolamento di rete in uscita come difesa **primaria**	VINCOLO
V-11	`GUIDA`	`TECH`, `FUNZ`	Il contenitore di registrazione va negoziato a runtime, mai assunto	VINCOLO
V-12	`GUIDA`	tutte	Nessuna soglia tecnica è imposta dalla normativa italiana: i valori del progetto sono specifica di prodotto, mai conformità	VINCOLO
V-120	`FUNZ`	tutte	**Intervalli di identificativi congelati da FUNZ**: `RF-230`…`RF-352`, `RNF-090`…`RNF-110`, `BR-100`…`BR-185`, `ATT-20`…`ATT-26`, `UC-01`…`UC-24`, `OUT-01`…`OUT-24`, codici di esito `EX-TM-*`. Nessuna area può riassegnarli. Restano liberi `RF-353`+, `RNF-111`+, `BR-186`+ e vanno richiesti qui prima dell'uso	VINCOLO
V-121	`FUNZ`	`ARCH`, `TECH`	L'allarme è una **sequenza di eventi immutabili**; lo stato corrente è una proiezione. Nessuna colonna di stato aggiornata sul posto, né per l'allarme né per la misura né per il piano	VINCOLO
V-122	`FUNZ`	`ARCH`, `TECH`, `SEC`, `PROD`	La **copertura oraria del servizio è un dato di runtime versionato** e condiziona la validità del destinatario nella catena di escalation: un destinatario fuori copertura non è un destinatario valido. Non è un parametro commerciale né una clausola contrattuale	VINCOLO
