# Registro degli identificativi di requisito - Telemedic
#
# Risponde ai criteri 3 e 4 del traguardo T-01 della roadmap
# (docs/09_roadmap/02-traguardi.md). È un giornale di eventi in SOLA AGGIUNTA,
# non una tabella di stati: non si modifica né si cancella mai una riga
# esistente, si aggiunge un nuovo evento. Il formato completo, la regola di
# sola aggiunta, il calcolo dello stato e il divieto di riuso sono descritti
# in registro/README.md, che ogni lettore - umano o automatico - deve leggere
# prima di usare questo file.
#
# Formato: TSV (separatore TAB), prima riga di intestazione con i nomi delle
# colonne. Le righe che iniziano con '#' sono commenti e vanno ignorate da
# ogni lettore automatico.
#
# Colonne, in quest'ordine esatto:
#   data            ISO AAAA-MM-GG
#   identificativo  forma esatta usata nel corpus, es. RF-001 (non normalizzata)
#   evento          "introdotto" oppure "ritirato"
#   fonte           percorso, dalla radice del repository, del file in cui
#                   l'identificativo è definito; se la definizione non è
#                   individuabile, il file con più occorrenze (vedi nota)
#   nota            testo libero, può essere vuoto; mai un carattere TAB
#
# Popolato per la prima volta il 2026-08-26. Per tutti gli identificativi già
# esistenti a quella data, l'evento "introdotto" porta la data 2026-08-26,
# che è la data di istituzione del registro e non la data reale di
# assegnazione (sconosciuta per gli identificativi della fase di ricerca:
# vedi registro/README.md, § difetti).
data	identificativo	evento	fonte	nota
2026-08-26	ATT-01	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-02	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-03	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-04	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-05	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-06	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-07	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-08	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-09	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-10	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-11	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-12	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-13	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-14	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-15	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-16	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-17	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-18	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-19	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-20	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-21	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-22	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-23	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-24	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-25	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	ATT-26	introdotto	docs/03_functional/01-attori-e-ruoli.md	
2026-08-26	BR-001	introdotto	docs/03_functional/00-indice.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; parità di occorrenze fra 4 file, scelto il primo in ordine alfabetico
2026-08-26	BR-002	introdotto	docs/03_functional/02-catalogo-dei-requisiti.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; parità di occorrenze fra 3 file, scelto il primo in ordine alfabetico
2026-08-26	BR-003	introdotto	docs/05_domain/02-le-prestazioni-modellate.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-004	introdotto	docs/05_domain/02-le-prestazioni-modellate.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-006	introdotto	docs/03_functional/03-casi-d-uso.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-007	introdotto	docs/03_functional/03-casi-d-uso.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-008	introdotto	docs/05_domain/02-le-prestazioni-modellate.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-010	introdotto	docs/03_functional/04-regole-di-business.md	identificativo assegnato nella fase di ricerca; non ridefinito per intero in docs/, qui solo richiamato testualmente come regola cardine su cui si fonda l'area
2026-08-26	BR-011	introdotto	docs/05_domain/02-le-prestazioni-modellate.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-012	introdotto	docs/03_functional/01-attori-e-ruoli.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; parità di occorrenze fra 3 file, scelto il primo in ordine alfabetico
2026-08-26	BR-013	introdotto	docs/03_functional/01-attori-e-ruoli.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; parità di occorrenze fra 2 file, scelto il primo in ordine alfabetico
2026-08-26	BR-014	introdotto	docs/03_functional/03-casi-d-uso.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-015	introdotto	docs/05_domain/06-consenso-e-riservatezza.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-017	introdotto	docs/03_functional/01-attori-e-ruoli.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; parità di occorrenze fra 2 file, scelto il primo in ordine alfabetico
2026-08-26	BR-018	introdotto	docs/03_functional/01-attori-e-ruoli.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-020	introdotto	docs/03_functional/03-casi-d-uso.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; parità di occorrenze fra 2 file, scelto il primo in ordine alfabetico
2026-08-26	BR-021	introdotto	docs/03_functional/03-casi-d-uso.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-023	introdotto	docs/10_fondamenti/11-fondamenti-informatici.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-024	introdotto	docs/03_functional/03-casi-d-uso.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-025	introdotto	docs/05_domain/02-le-prestazioni-modellate.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-026	introdotto	docs/05_domain/02-le-prestazioni-modellate.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-028	introdotto	docs/03_functional/03-casi-d-uso.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-029	introdotto	docs/03_functional/03-casi-d-uso.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-030	introdotto	docs/03_functional/03-casi-d-uso.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; parità di occorrenze fra 3 file, scelto il primo in ordine alfabetico
2026-08-26	BR-031	introdotto	docs/03_functional/03-casi-d-uso.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; parità di occorrenze fra 3 file, scelto il primo in ordine alfabetico
2026-08-26	BR-032	introdotto	docs/03_functional/03-casi-d-uso.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; parità di occorrenze fra 2 file, scelto il primo in ordine alfabetico
2026-08-26	BR-033	introdotto	docs/03_functional/03-casi-d-uso.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; fonte = file con più occorrenze
2026-08-26	BR-034	introdotto	docs/03_functional/03-casi-d-uso.md	definizione non individuabile in docs/: identificativo assegnato nella fase di ricerca, citato ma non ridefinito in quest'area; parità di occorrenze fra 3 file, scelto il primo in ordine alfabetico
